City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.17,light rain,-23.1203,-134.9692,Pension Maro'i
4,Marsabit,KE,75.74,overcast clouds,2.3284,37.9899,Chicho Hotel
17,Dingle,PH,76.86,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
18,Richards Bay,ZA,70.38,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
29,Thai Binh,VN,73.4,overcast clouds,20.45,106.3333,Sweden Hotel
32,Cape Town,ZA,75.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Rawson,AR,70.65,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
48,Vallenar,CL,75.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
49,Chuy,UY,70.65,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
52,Waddan,LY,72.03,broken clouds,29.1614,16.139,محل الشريف محمد العايب
55,Tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
60,Gorontalo,ID,74.03,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
63,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
76,Kapaa,US,73.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
77,Muros,ES,77.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
81,Hermanus,ZA,71.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
86,Saldanha,ZA,77.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
87,Sijunjung,ID,72.79,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
91,Poum,NC,79.99,few clouds,-20.2333,164.0167,Gîte kajeon
96,Qui Nhon,VN,75.76,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
105,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
117,Bengkulu,ID,78.91,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
123,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
127,Mitu,CO,73.2,moderate rain,1.1983,-70.1733,
133,Basco,PH,79.05,clear sky,20.4487,121.9702,Nathaniel's Lodge
135,Coahuayana,MX,78.8,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
142,Caceres,ES,71.01,scattered clouds,39.522,-6.3748,Ahc Hoteles
144,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
154,Arawa,PG,76.23,scattered clouds,-6.2132,155.5367,Coastline Guest House
158,Vanimo,PG,76.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
159,Namibe,AO,76.28,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
165,Bambanglipuro,ID,77.77,broken clouds,-7.95,110.2833,Puri Brata
169,Umm Lajj,SA,73.76,clear sky,25.0213,37.2685,Moon light Furnished Units
178,Reconquista,AR,71.26,clear sky,-29.15,-59.65,Grand Hotel
185,Churintzio,MX,76.69,scattered clouds,20.15,-102.0667,Hotel Plaza Churintzio
192,Hun,LY,72.37,broken clouds,29.1268,15.9477,Alrwasi Hotel
198,Mocuba,MZ,72.34,light rain,-16.8392,36.9856,Phama Lodge
199,San Cristobal,VE,78.8,broken clouds,7.7669,-72.225,Posada Villaven C.A.
205,Ziro,IN,71.6,mist,27.6333,93.8333,Ka-ngam homestay
211,Maceio,BR,77.0,broken clouds,-9.6658,-35.7353,Poutur Pousada
215,Sibolga,ID,78.06,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
221,Castro,BR,78.55,few clouds,-24.7911,-50.0119,CHACARA BAILLY
224,Pangkalanbuun,ID,75.9,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
227,Honiara,SB,76.51,scattered clouds,-9.4333,159.95,Heritage Park Hotel
229,Teahupoo,PF,77.0,light rain,-17.8333,-149.2667,Vanira Lodge
231,Banjar,ID,78.8,moderate rain,-8.19,114.9675,The Hamsa Resort
238,Lynn Haven,US,79.0,overcast clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
247,Sri Aman,MY,78.8,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
253,Nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
254,Matara,LK,75.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
257,Lata,PT,75.99,scattered clouds,40.1629,-8.3327,Casa Maquia
261,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
268,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
270,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
272,Bandarbeyla,SO,79.95,overcast clouds,9.4942,50.8122,JABIR HOTEL
274,Vila,PT,72.0,clear sky,42.0304,-8.1588,Hotel Castrum Villae
275,Morgan City,US,75.99,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
284,Cabo San Lucas,MX,73.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
297,Banda Aceh,ID,77.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
308,Phonhong,LA,79.45,light rain,18.5007,102.4166,Manyvong Guest House
312,Galesong,ID,75.2,few clouds,-5.3166,119.3661,Sapriadi Appy
326,Nalut,LY,74.19,clear sky,30.3333,10.85,
333,Saint-Pierre,RE,78.8,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
335,Pasighat,IN,74.89,clear sky,28.0667,95.3333,Siang Guest House
338,Maldonado,UY,77.0,broken clouds,-34.6667,-54.9167,La Cimarrona
346,Koumac,NC,77.97,scattered clouds,-20.5667,164.2833,Le Monitel
348,Madang,PG,76.98,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
349,Aswan,EG,76.19,scattered clouds,24.0934,32.907,Nuba Nile
352,Peniche,PT,75.99,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
358,Chiredzi,ZW,73.26,broken clouds,-21.05,31.6667,The Nesbitt Arms
364,Zhuhai,CN,79.0,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
371,Havelock,US,73.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
376,San Juan,AR,74.07,clear sky,-31.5375,-68.5364,Hotel Provincial
381,Macia,MZ,72.41,scattered clouds,-25.0269,33.0989,Tuck shop my life dcoza
389,Ales,FR,71.01,clear sky,44.1333,4.0833,ibis Alès Centre-Ville
398,Port Moresby,PG,78.04,overcast clouds,-9.4431,147.1797,Lamana Hotel
411,Catuday,PH,78.87,overcast clouds,16.2923,119.8062,GResort
413,Vila Do Maio,CV,73.4,few clouds,15.1333,-23.2167,Residence 'I Delfini'
416,Hambantota,LK,73.4,broken clouds,6.1241,81.1185,Bungalow 63
418,Laureles,US,73.99,overcast clouds,26.1092,-97.4941,Los Fresnos Inn
419,Arroio Dos Ratos,BR,78.8,broken clouds,-30.0772,-51.7292,Hotel do Sul
421,Buenos Aires,AR,73.99,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
427,Teknaf,BD,78.08,overcast clouds,20.8624,92.3058,Forestry Guesthouse
428,Galle,LK,76.44,overcast clouds,6.0367,80.217,Amangalla
435,Kuala Terengganu,MY,78.8,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
447,Marzuq,YE,73.36,clear sky,14.4,46.4667,
448,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
451,Santa Vitoria Do Palmar,BR,70.47,broken clouds,-33.5189,-53.3681,Hostel Comodoro
453,Santa Maria,BR,77.0,broken clouds,-29.6842,-53.8069,Hotel Morotin
454,Cidreira,BR,74.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
455,East Hemet,US,70.0,clear sky,33.74,-116.9389,Vagabond Inn Hemet
466,Samarinda,ID,74.1,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
469,Camopi,GF,78.24,overcast clouds,3.1655,-52.3158,
472,Wana,PK,72.14,clear sky,32.2989,69.5725,Rest House at Wana Camp
473,Akonolinga,CM,78.24,broken clouds,3.7667,12.25,Le Diamant De Mireille
476,Bubaque,GW,77.54,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
485,Vohibinany,MG,74.71,light rain,-17.35,49.0333,
505,Avera,US,79.0,clear sky,33.194,-82.5271,
512,Eyl,SO,79.79,scattered clouds,7.9803,49.8164,Amiin Hotel
519,Isangel,VU,76.71,clear sky,-19.55,169.2667,Volcano Sea View Tree House
520,Palmerston,AU,78.8,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
524,Lima,PE,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
543,Kuching,MY,78.8,few clouds,1.55,110.3333,The Ranee Boutique Suites
544,Thinadhoo,MV,79.57,light rain,0.5333,72.9333,
546,Cacapava Do Sul,BR,75.31,broken clouds,-30.5122,-53.4914,Hotel Portal
547,Biak,ID,76.73,overcast clouds,-0.9131,122.8766,Penginapan Kim
550,Poya,NC,76.24,few clouds,-21.35,165.15,
555,Aitape,PG,76.66,overcast clouds,-3.1374,142.3475,
560,Davila,PH,77.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
566,Mizdah,LY,70.95,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
567,Sambava,MG,79.07,moderate rain,-14.2667,50.1667,Melrose
571,Mareeba,AU,78.8,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
573,Luwuk,ID,78.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
580,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
586,Angoram,PG,73.18,overcast clouds,-4.0625,144.0661,
589,Labuhan,ID,78.85,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
597,Doha,QA,71.6,clear sky,25.2867,51.5333,Doha Marriott Hotel
598,Yambio,SS,79.83,overcast clouds,4.5721,28.3955,Naivasha Hotel
602,Bam,IR,75.9,broken clouds,29.106,58.357,Bam Tourist Hotel
608,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
612,Tura,IN,76.39,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
621,Mananjary,MG,77.65,moderate rain,-21.2167,48.3333,Vahiny Lodge
627,Sesheke,ZM,77.02,few clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
631,Nacala,MZ,76.66,moderate rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
636,Alofi,NU,77.0,few clouds,-19.0595,-169.9187,Taloa Heights
639,Bairiki,KI,75.2,heavy intensity rain,1.3292,172.9752,Tarawa Boutique Hotel
641,Faya,SA,71.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
642,Betanzos,ES,72.0,clear sky,43.2804,-8.2147,Hotel Garelos Betanzos
644,Todos Santos,MX,77.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
650,Viedma,AR,76.28,few clouds,-40.8135,-62.9967,Hotel Cristal
653,San Rafael,AR,72.27,clear sky,-34.6177,-68.3301,Hotel San Rafael
654,Cockburn Town,TC,77.36,clear sky,21.4612,-71.1419,Osprey Beach Hotel
656,Vao,NC,77.23,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
